trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-49.04565323639515,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,6,-39.838937909274165,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,0,-67.10329861155319,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,0,-13.226572620237762,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",20,7,-30.637202669072906,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,9,-37.02150081908019,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,8,-44.47339047097859,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-53.05818657269978,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,14,-3.938686653196872,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-99.95054789177789,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",35,22,-38.05893181054506,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,0,-144.06606851734492,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 4}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",30,1,-130.4554042277863,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-11.170763775022683,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-91.17673780976811,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,5,-17.207773871089337,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",30,18,-9.110572242324384,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",30,0,-38.422910745501454,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,0,-12.525346952130331,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-11.72884209526199,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,0,-56.147313053290524,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,11,-44.101429757205516,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",30,6,-80.87015333072249,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,9,-2.0770079636707117,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,0,-24.563324111212086,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,9,-6.738937042901668,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",30,0,-50.593857323481785,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,-100.18366137391699,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,11,-15.775333433863889,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-103.89851269770087,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,16,-8.14081047487974,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,11,-106.47981895348713,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,1,-19.94751333417428,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
